from,to,weight,season
Mainz,1,50,2021
Nuernberg,33,3,2019
Stuttgart_2,42,,2021
Arsenal,5,7,2020
Hannover,2,40,2020
Iwata,37,,2021
Zagreb,24,60,2018
Freibrug,15,13,2020
Hamburg,23,,2019
Truiden,3,17,2020
Kiel,16,8,2019
Turin,32,15,2021
Chelsea,6,4,2020
Monaco,8,17,2021
Sandhausen,28,,2021
Paris,14,80,2019
Bielefeld,30,,2019
Duesseldorf,11,,2020
Sandhausen,20,30,2019
Cordoba,31,17,2019
Stuttgart_U19,25,,2020
Istanbul,34,,2021
Wolfsburg,10,,2018
Paris_U19,7,,2019
Paderborn,22,25,2021
Moelding,9,17,2019
Lissabon,18,,2022
Wolfsburg,17,,2021
Vejle,19,45,2021
Stuttgart_U19,50,,2022
Stuttgart_2,44,,2021
1,Deutschland,,
33,Deutschland,,
42,Deutschland,,
5,Griechenland,,
2,Deutschland,,
2,Usbekistan,,
37,Japan,,
24,Kroatien,,
24,Deutschland,,
15,Deutschland,,
23,Belgien,,
3,Japan,,
16,Deutschland,,
32,Frankreich,,
32,Komoren,,
6,England,,
6,Kongo,,
30,Deutschland,,
30,Italien,,
11,Deutschland,,
20,Deutschland,,
8,Frankreich,,
8,Martinique,,
28,Dänemark,,
28,Ghana,,
31,Deutschland,,
31,Argentinien,,
25,Deutschland,,
34,Türkei,,
10,Deutschland,,
10,Benin,,
22,Deutschland,,
9,Serbien,,
9,Oesterreich,,
18,Portugal,,
17,Ägypten,,
17,Kanada,,
19,Afghanistan,,
19,Daenemark,,
50,Frankreich,,
50,Kamerun,,
44,Niederlande,,
44,SierraLeone,,
